TIPO,OFERTA,VALORES,VALORES_PROMO,RUA/AV,LOGRADOURO,LOCATION,CITY,STATE,AREA,QUARTO,GARAGEM,BANHEIRO,KEY,EXCLUSIVO,MOBILIADO,DATA_ANUNCIO,DATA_RETIRADA,LAT_STREET,LON_STREET
CASA COMERCIAL,ALUGAR,5000,4500,AVENIDA,BAHIA,NAVEGANTES,PORTO ALEGRE,RS,227,0,0,1,413856,0,0,2023-08-05,-,-30.0111224,-51.2003352
SALA/CONJUNTO COMERCIAL,ALUGAR,1150,1035,RUA,GERMANO PETERSEN JUNIOR,AUXILIADORA,PORTO ALEGRE,RS,48,0,1,0,378044,0,0,2023-08-05,-,-30.0222704,-51.1899675
SALA/CONJUNTO COMERCIAL,ALUGAR,450,405,PRACA,"OSVALDO CRUZ,",CENTRO HISTORICO,PORTO ALEGRE,RS,60,0,0,0,312297,0,0,2023-08-05,-,-30.0264432,-51.22270946829152
DEPOSITO/ARMAZEM/PAVILHAO,ALUGAR,60088,55000,AVENIDA,DAS INDUSTRIAS,ANCHIETA,PORTO ALEGRE,RS,3400,0,0,0,394297,0,0,2023-08-05,-,-29.7954463,-51.1237641
CASA COMERCIAL,ALUGAR,7101,6500,RUA,FELIPE DE OLIVEIRA,PETROPOLIS,PORTO ALEGRE,RS,190,0,2,1,381207,1,0,2023-08-05,-,-30.0423105,-51.203893
DEPOSITO/ARMAZEM/PAVILHAO,ALUGAR,8921,8200,RUA,LUIZ MANOEL,SANTANA,PORTO ALEGRE,RS,304,0,0,0,419462,0,0,2023-08-05,-,-30.0451918,-51.2113073
DEPOSITO/ARMAZEM/PAVILHAO,ALUGAR,16041,15000,AVENIDA,PATRIA,SAO GERALDO,PORTO ALEGRE,RS,361,0,0,0,415012,0,0,2023-08-05,-,-29.6918008,-51.2336507
PAVILHAO,ALUGAR,4145,3250,RUA,SERGIO JUNGBLUT DIETERICH,SARANDI,PORTO ALEGRE,RS,195,0,0,0,410870,0,0,2023-08-05,-,-29.9877528,-51.1432492
LOJA,ALUGAR,52601,50000,AVENIDA,BORGES DE MEDEIROS,CENTRO HISTORICO,PORTO ALEGRE,RS,745,0,0,0,401626,0,0,2023-08-05,-,-29.6611245,-50.5844571
SALA/CONJUNTO COMERCIAL,ALUGAR,7189,5900,PRACA,QUINZE DE NOVEMBRO,CENTRO HISTORICO,PORTO ALEGRE,RS,172,0,0,1,412456,0,1,2023-08-05,-,-30.028453550000002,-51.22724002054571
LOJA,ALUGAR,9284,9000,AVENIDA,PERNAMBUCO,NAVEGANTES,PORTO ALEGRE,RS,292,0,0,0,394132,0,0,2023-08-05,-,-30.0132534,-51.2024532
PAVILHAO,ALUGAR,4145,3250,RUA,SERGIO JUNGBLUT DIETERICH,SARANDI,PORTO ALEGRE,RS,195,0,0,0,394296,0,0,2023-08-05,-,-29.9877528,-51.1432492
CASA COMERCIAL,ALUGAR,5355,5000,AVENIDA,PROFESSOR PAULA SOARES,JARDIM ITU SABARA,PORTO ALEGRE,RS,220,0,0,1,384640,0,0,2023-08-05,-,-,-
LOJA,ALUGAR,20001,20000,AVENIDA,BENTO GONCALVES,PARTENON,PORTO ALEGRE,RS,492,0,0,0,370586,0,0,2023-08-05,-,-30.0760656,-51.1315976
LOJA,ALUGAR,8501,8500,AVENIDA,BENTO GONCALVES,PARTENON,PORTO ALEGRE,RS,255,0,0,0,370595,0,0,2023-08-05,-,-30.0760656,-51.1315976
SALA/CONJUNTO COMERCIAL,ALUGAR,12120,7800,AVENIDA,CARLOS GOMES,PETROPOLIS,PORTO ALEGRE,RS,156,0,2,0,377552,0,0,2023-08-05,-,-30.0373718,-51.1744218
SALA/CONJUNTO COMERCIAL,ALUGAR,29945,21800,AVENIDA,CARLOS GOMES,PETROPOLIS,PORTO ALEGRE,RS,436,0,4,0,377746,0,0,2023-08-05,-,-30.0373718,-51.1744218
SALA/CONJUNTO COMERCIAL,ALUGAR,23373,17500,AVENIDA,CARLOS GOMES,PETROPOLIS,PORTO ALEGRE,RS,350,0,2,0,377783,0,0,2023-08-05,-,-30.0373718,-51.1744218
