TIPO,OFERTA,VALORES,VALORES_PROMO,RUA/AV,LOGRADOURO,LOCATION,CITY,STATE,AREA,QUARTO,GARAGEM,BANHEIRO,KEY,EXCLUSIVO,MOBILIADO,DATA_ANUNCIO,DATA_RETIRADA,LAT_STREET,LON_STREET,ALTO_PADRAO,AVALIA_IMOVEL_NO_NEGOCIO,PRONTO_PARA_MORAR,ALUGA_RAPIDO_SEM_FIADOR_OU_GARANTIAS,AUXI_PLUS
LOJA,ALUGAR,174620,17000,AVENIDA,OTAVIO ROCHA,CENTRO HISTORICO,PORTO ALEGRE,RS,98.0,0,0,0,432821,0.0,0,2023-08-05,-,-30.028205,-51.2237342,,,,,
SALA/CONJUNTO COMERCIAL,ALUGAR,28700,2000,RUA,DOS ANDRADAS,CENTRO HISTORICO,PORTO ALEGRE,RS,60.0,0,0,0,432832,0.0,0,2023-08-05,-,-30.0296388,-51.2232103,,,,,
SALA/CONJUNTO COMERCIAL,ALUGAR,22100,1600,RUA,VISCONDE DO HERVAL,MENINO DEUS,PORTO ALEGRE,RS,44.0,0,0,0,436737,0.0,0,2023-08-05,-,-30.0530369,-51.2247193,,,,,
ANDAR,ALUGAR,107600,5380,RUA,GENERAL BENTO MARTINS,CENTRO HISTORICO,PORTO ALEGRE,RS,538.0,0,0,0,342507,1.0,0,2023-08-05,-,-29.9594516,-51.7271927,,,,,
SALA/CONJUNTO COMERCIAL,ALUGAR,24000,1200,RUA,GENERAL BENTO MARTINS,CENTRO HISTORICO,PORTO ALEGRE,RS,120.0,0,0,0,342550,1.0,0,2023-08-05,-,-29.9594516,-51.7271927,,,,,
SALA/CONJUNTO COMERCIAL,ALUGAR,30800,1540,RUA,GENERAL BENTO MARTINS,CENTRO HISTORICO,PORTO ALEGRE,RS,154.0,0,0,0,342551,1.0,0,2023-08-05,-,-29.9594516,-51.7271927,,,,,
LOJA,ALUGAR,45000,2250,AVENIDA,DOUTOR CARLOS BARBOSA,MEDIANEIRA,PORTO ALEGRE,RS,165.0,0,0,0,364906,1.0,0,2023-08-05,-,-30.0624596,-51.2118472,,,,,
SALA/CONJUNTO COMERCIAL,ALUGAR,4500,225,AVENIDA,PROTASIO ALVES,RIO BRANCO,PORTO ALEGRE,RS,24.0,0,0,0,229016,1.0,0,2023-08-05,-,-30.0399646,-51.1714215,,,,,
SALA/CONJUNTO COMERCIAL,ALUGAR,26850,1750,RUA,DONA LAURA,MOINHOS DE VENTO,PORTO ALEGRE,RS,53.0,0,1,1,432140,0.0,0,2023-08-05,-,-30.0292454,-51.1953876,,,,,
SALA/CONJUNTO COMERCIAL,ALUGAR,17140,1000,AVENIDA,GOETHE,RIO BRANCO,PORTO ALEGRE,RS,45.0,0,1,0,318770,0.0,0,2023-08-05,-,-30.027087,-51.199371,,,,,
LOJA,ALUGAR,110200,8900,AVENIDA,IPIRANGA,JARDIM BOTANICO,PORTO ALEGRE,RS,184.0,0,0,0,240079,0.0,0,2023-08-05,-,-30.0554878,-51.1692291,,,,,
LOJA,ALUGAR,21800,1090,AVENIDA,IPIRANGA,PRAIA DE BELAS,PORTO ALEGRE,RS,45.0,0,0,0,422868,0.0,0,2023-08-05,-,-30.0554878,-51.1692291,,,,,
SALA/CONJUNTO COMERCIAL,ALUGAR,20000,1000,RUA,MARIANTE,RIO BRANCO,PORTO ALEGRE,RS,98.0,0,0,0,418447,0.0,0,2023-08-05,-,-30.0375651,-51.2039987,,,,,
CASA COMERCIAL,ALUGAR,50000,2500,AVENIDA,PROTASIO ALVES,PETROPOLIS,PORTO ALEGRE,RS,255.0,0,0,1,415570,0.0,0,2023-08-05,-,-30.0399646,-51.1714215,,,,,
ANDAR,ALUGAR,143500,7175,RUA,DOS ANDRADAS,CENTRO HISTORICO,PORTO ALEGRE,RS,732.0,0,0,0,408484,0.0,0,2023-08-05,-,-30.0296388,-51.2232103,,,,,
SALA/CONJUNTO COMERCIAL,ALUGAR,12000,600,AVENIDA,PARA,NAVEGANTES,PORTO ALEGRE,RS,40.0,0,0,0,401416,0.0,0,2023-08-05,-,-30.0106514,-51.1988646,,,,,
SALA/CONJUNTO COMERCIAL,ALUGAR,12000,600,AVENIDA,PARA,NAVEGANTES,PORTO ALEGRE,RS,40.0,0,0,0,401421,0.0,0,2023-08-05,-,-30.0106514,-51.1988646,,,,,
SALA/CONJUNTO COMERCIAL,ALUGAR,22000,1100,AVENIDA,PARA,NAVEGANTES,PORTO ALEGRE,RS,70.0,0,0,0,401428,0.0,0,2023-08-05,-,-30.0106514,-51.1988646,,,,,
ANDAR,ALUGAR,101500,5075,RUA,DOS ANDRADAS,CENTRO HISTORICO,PORTO ALEGRE,RS,516.0,0,0,0,409330,0.0,0,2023-08-05,-,-30.0296388,-51.2232103,,,,,
ANDAR,ALUGAR,89000,4450,RUA,DOS ANDRADAS,CENTRO HISTORICO,PORTO ALEGRE,RS,507.0,0,0,0,409333,0.0,0,2023-08-05,-,-30.0296388,-51.2232103,,,,,
ANDAR,ALUGAR,87000,4350,RUA,DOS ANDRADAS,CENTRO HISTORICO,PORTO ALEGRE,RS,495.0,0,0,0,409337,0.0,0,2023-08-05,-,-30.0296388,-51.2232103,,,,,
ANDAR,ALUGAR,95000,4750,RUA,DOS ANDRADAS,CENTRO HISTORICO,PORTO ALEGRE,RS,508.0,0,0,0,409343,0.0,0,2023-08-05,-,-30.0296388,-51.2232103,,,,,
OUTROS,ALUGAR,55000,2750,RUA,CORONEL JOSE RODRIGUES SOBRAL,PARTENON,PORTO ALEGRE,RS,400.0,0,0,0,409547,0.0,0,2023-08-05,-,-30.0644644,-51.1861347,,,,,
SALA/CONJUNTO COMERCIAL,ALUGAR,7000,350,RUA,DOUTOR BARROS CASSAL,CENTRO HISTORICO,PORTO ALEGRE,RS,44.0,0,0,1,393681,0.0,0,2023-08-05,-,-30.0277651,-51.2172752,,,,,
SALA/CONJUNTO COMERCIAL,ALUGAR,35000,1750,AVENIDA,PADRE CACIQUE,CRISTAL,PORTO ALEGRE,RS,34.0,0,1,0,400328,0.0,0,2023-08-05,-,-30.0771014,-51.2446466,,,,,
SALA/CONJUNTO COMERCIAL,ALUGAR,20000,1000,RUA,GOMES JARDIM,SANTANA,PORTO ALEGRE,RS,37.0,0,0,0,387963,0.0,0,2023-08-05,-,-30.048605,-51.2056502,,,,,
SALA/CONJUNTO COMERCIAL,ALUGAR,12000,600,AVENIDA,TERESOPOLIS,TERESOPOLIS,PORTO ALEGRE,RS,48.0,0,0,2,374102,0.0,0,2023-08-05,-,-30.0823909,-51.2133095,,,,,
SALA/CONJUNTO COMERCIAL,ALUGAR,30000,1500,RUA,ANITA GARIBALDI,MONT SERRAT,PORTO ALEGRE,RS,134.0,0,1,0,379023,0.0,0,2023-08-05,-,-30.022182,-51.1738111,,,,,
SALA/CONJUNTO COMERCIAL,ALUGAR,10000,500,RUA,TOBIAS DA SILVA,MOINHOS DE VENTO,PORTO ALEGRE,RS,47.0,0,1,1,379368,0.0,0,2023-08-05,-,-30.0226445,-51.1998317,,,,,
SALA/CONJUNTO COMERCIAL,ALUGAR,24400,1220,RUA,GENERAL BENTO MARTINS,CENTRO HISTORICO,PORTO ALEGRE,RS,122.0,0,0,0,342455,0.0,0,2023-08-05,-,-29.9594516,-51.7271927,,,,,
LOJA,ALUGAR,100000,5000,RUA,CORONEL BORDINI,AUXILIADORA,PORTO ALEGRE,RS,165.0,0,0,0,342492,0.0,0,2023-08-05,-,-30.034316,-51.1958583,,,,,
SALA/CONJUNTO COMERCIAL,ALUGAR,46550,2328,RUA,DOS ANDRADAS,CENTRO HISTORICO,PORTO ALEGRE,RS,233.0,0,0,0,342497,0.0,0,2023-08-05,-,-30.0296388,-51.2232103,,,,,
SALA/CONJUNTO COMERCIAL,ALUGAR,30800,1540,RUA,GENERAL BENTO MARTINS,CENTRO HISTORICO,PORTO ALEGRE,RS,154.0,0,0,0,342534,0.0,0,2023-08-05,-,-29.9594516,-51.7271927,,,,,
SALA/CONJUNTO COMERCIAL,ALUGAR,24400,1220,RUA,GENERAL BENTO MARTINS,CENTRO HISTORICO,PORTO ALEGRE,RS,122.0,0,0,0,342541,0.0,0,2023-08-05,-,-29.9594516,-51.7271927,,,,,
SALA/CONJUNTO COMERCIAL,ALUGAR,52400,2620,RUA,GENERAL BENTO MARTINS,CENTRO HISTORICO,PORTO ALEGRE,RS,262.0,0,0,0,342548,0.0,0,2023-08-05,-,-29.9594516,-51.7271927,,,,,
SALA/CONJUNTO COMERCIAL,ALUGAR,20000,1000,AVENIDA,ASSIS BRASIL,PASSO DA AREIA,PORTO ALEGRE,RS,47.0,0,0,0,346661,0.0,0,2023-08-05,-,-29.9799682,-51.1144159,,,,,
SALA/CONJUNTO COMERCIAL,ALUGAR,11000,550,AVENIDA,IJUI,PETROPOLIS,PORTO ALEGRE,RS,32.0,0,0,0,329095,0.0,0,2023-08-05,-,-30.0384635,-51.1873967,,,,,
SALA/CONJUNTO COMERCIAL,ALUGAR,22900,1145,AVENIDA,CARLOS GOMES,AUXILIADORA,PORTO ALEGRE,RS,36.0,0,1,0,325398,0.0,0,2023-08-05,-,-30.0373718,-51.1744218,,,,,
SALA/CONJUNTO COMERCIAL,ALUGAR,17000,850,AVENIDA,ASSIS BRASIL,PASSO DA AREIA,PORTO ALEGRE,RS,34.0,0,0,0,312613,0.0,0,2023-08-05,-,-29.9799682,-51.1144159,,,,,
SALA/CONJUNTO COMERCIAL,ALUGAR,53000,2650,RUA,DOS ANDRADAS,CENTRO HISTORICO,PORTO ALEGRE,RS,162.0,0,0,0,331981,0.0,0,2023-08-05,-,-30.0296388,-51.2232103,,,,,
SALA/CONJUNTO COMERCIAL,ALUGAR,12000,600,RUA,IGUASSU,PETROPOLIS,PORTO ALEGRE,RS,42.0,0,0,0,332001,0.0,0,2023-08-05,-,-29.7380789,-51.1543519,,,,,
SALA/CONJUNTO COMERCIAL,ALUGAR,21000,1050,AVENIDA,CARLOS GOMES,AUXILIADORA,PORTO ALEGRE,RS,70.0,0,1,0,336308,0.0,0,2023-08-05,-,-30.0373718,-51.1744218,,,,,
SALA/CONJUNTO COMERCIAL,ALUGAR,11000,550,RUA,GOMES JARDIM,SANTANA,PORTO ALEGRE,RS,36.0,0,0,0,294068,0.0,0,2023-08-05,-,-30.048605,-51.2056502,,,,,
SALA/CONJUNTO COMERCIAL,ALUGAR,11000,550,AVENIDA,JULIO DE CASTILHOS,CENTRO HISTORICO,PORTO ALEGRE,RS,62.0,0,0,0,284721,0.0,0,2023-08-05,-,-30.2372192,-50.236148,,,,,
SALA/CONJUNTO COMERCIAL,ALUGAR,11000,550,AVENIDA,JULIO DE CASTILHOS,CENTRO HISTORICO,PORTO ALEGRE,RS,62.0,0,0,0,284743,0.0,0,2023-08-05,-,-30.2372192,-50.236148,,,,,
SALA/CONJUNTO COMERCIAL,ALUGAR,11000,550,AVENIDA,JULIO DE CASTILHOS,CENTRO HISTORICO,PORTO ALEGRE,RS,62.0,0,0,0,285113,0.0,0,2023-08-05,-,-30.2372192,-50.236148,,,,,
SALA/CONJUNTO COMERCIAL,ALUGAR,6900,345,AVENIDA,PRINCESA ISABEL,SANTANA,PORTO ALEGRE,RS,26.0,0,1,0,285533,0.0,0,2023-08-05,-,-30.0463876,-51.2049524,,,,,
SALA/CONJUNTO COMERCIAL,ALUGAR,11000,550,AVENIDA,JULIO DE CASTILHOS,CENTRO HISTORICO,PORTO ALEGRE,RS,62.0,0,0,0,285822,0.0,0,2023-08-05,-,-30.2372192,-50.236148,,,,,
SALA/CONJUNTO COMERCIAL,ALUGAR,11000,550,AVENIDA,JULIO DE CASTILHOS,CENTRO HISTORICO,PORTO ALEGRE,RS,62.0,0,0,0,285834,0.0,0,2023-08-05,-,-30.2372192,-50.236148,,,,,
SALA/CONJUNTO COMERCIAL,ALUGAR,4900,245,AVENIDA,PROTASIO ALVES,PETROPOLIS,PORTO ALEGRE,RS,24.0,0,0,0,286171,0.0,0,2023-08-05,-,-30.0399646,-51.1714215,,,,,
SALA/CONJUNTO COMERCIAL,ALUGAR,4900,245,RUA,MOURA AZEVEDO,SAO GERALDO,PORTO ALEGRE,RS,31.0,0,0,0,289163,0.0,0,2023-08-05,-,-30.0113408,-51.2042437,,,,,
