TIPO,OFERTA,VALORES,VALORES_PROMO,RUA/AV,LOGRADOURO,LOCATION,CITY,STATE,AREA,QUARTO,GARAGEM,BANHEIRO,KEY,ALTO_PADRAO,AVALIA_IMOVEL_NO_NEGOCIO,MOBILIADO,PRONTO_PARA_MORAR,DATA_ANUNCIO,DATA_RETIRADA,LAT_STREET,LON_STREET
LOTE/TERRENO,COMPRA,492000,452600,RUA,BOTAFOGO,MENINO DEUS,PORTO ALEGRE,RS,121.0,0,0,0,378213,0.0,0,0,0,2023-08-05,-,-30.0540335,-51.2270663
SALA/CONJUNTO COMERCIAL,COMPRA,480000,425000,RUA,DOUTOR ARMANDO BARBEDO,TRISTEZA,PORTO ALEGRE,RS,41.0,0,1,0,346153,0.0,0,0,1,2023-08-05,-,-30.1100736,-51.2494348
SALA/CONJUNTO COMERCIAL,COMPRA,474000,399000,AVENIDA,"PRAIA DE BELAS, 1432",PRAIA DE BELAS,PORTO ALEGRE,RS,40.0,0,1,0,284400,0.0,1,0,0,2023-08-05,-,-30.0510672,-51.2266056
SALA/CONJUNTO COMERCIAL,COMPRA,448700,365738,AVENIDA,ERICO VERISSIMO,MENINO DEUS,PORTO ALEGRE,RS,37.0,0,1,2,329800,0.0,1,0,1,2023-08-05,-,-30.0444453,-51.2203463
LOJA,COMPRA,430000,387000,AVENIDA,PROTASIO ALVES,PETROPOLIS,PORTO ALEGRE,RS,59.0,0,0,0,361098,0.0,0,0,0,2023-08-05,-,-30.0399646,-51.1714215
SALA/CONJUNTO COMERCIAL,COMPRA,430000,395000,AVENIDA,CRISTOVAO COLOMBO,FLORESTA,PORTO ALEGRE,RS,73.0,0,0,2,389068,0.0,0,0,0,2023-08-05,-,-30.0220731,-51.2085441
SALA/CONJUNTO COMERCIAL,COMPRA,425000,376000,RUA,GENERAL LIMA E SILVA,AUXILIADORA,PORTO ALEGRE,RS,36.0,0,1,0,257678,0.0,1,0,0,2023-08-05,-,-30.0402042,-51.2190355
SALA/CONJUNTO COMERCIAL,COMPRA,410000,364000,RUA,DOS ANDRADAS,CENTRO HISTORICO,PORTO ALEGRE,RS,101.0,0,0,0,244463,0.0,0,0,0,2023-08-05,-,-30.0296388,-51.2232103
SALA/CONJUNTO COMERCIAL,COMPRA,390000,330000,AVENIDA,CRISTOVAO COLOMBO,FLORESTA,PORTO ALEGRE,RS,51.0,0,1,2,416141,0.0,0,1,0,2023-08-05,-,-30.0220731,-51.2085441
SALA/CONJUNTO COMERCIAL,COMPRA,360000,298000,AVENIDA,ASSIS BRASIL,CRISTO REDENTOR,PORTO ALEGRE,RS,34.0,0,1,2,390235,0.0,0,0,1,2023-08-05,-,-29.9799682,-51.1144159
SALA/CONJUNTO COMERCIAL,COMPRA,360000,341000,RUA,GOMES JARDIM,SANTANA,PORTO ALEGRE,RS,36.0,0,1,2,352387,0.0,0,0,1,2023-08-05,-,-30.048605,-51.2056502
SALA/CONJUNTO COMERCIAL,COMPRA,350000,332000,RUA,DOUTOR FLORENCIO YGARTUA,MOINHOS DE VENTO,PORTO ALEGRE,RS,44.0,0,0,0,260708,0.0,0,0,0,2023-08-05,-,-30.0286679,-51.2030284
SALA/CONJUNTO COMERCIAL,COMPRA,347800,278240,RUA,ANDRE PUENTE,MOINHOS DE VENTO,PORTO ALEGRE,RS,46.0,0,1,0,339628,0.0,1,1,0,2023-08-05,-,-29.991871,-51.0851061
SALA/CONJUNTO COMERCIAL,COMPRA,340000,300000,PRACA,ALBERTO RAMOS,HIGIENOPOLIS,PORTO ALEGRE,RS,36.0,0,1,2,403114,0.0,0,0,0,2023-08-05,-,-30.021126799999998,-51.18272093998925
SALA/CONJUNTO COMERCIAL,COMPRA,340000,319600,RUA,DOM PEDRO II,AUXILIADORA,PORTO ALEGRE,RS,70.0,1,0,2,418846,0.0,0,0,0,2023-08-05,-,-30.0107225,-51.1890716
SALA/CONJUNTO COMERCIAL,COMPRA,340000,323000,RUA,VIEIRA DE CASTRO,BOM FIM,PORTO ALEGRE,RS,58.0,0,1,0,100973,0.0,0,0,0,2023-08-05,-,-30.0378072,-51.2129685
SALA/CONJUNTO COMERCIAL,COMPRA,339200,322000,RUA,MARIANTE,MOINHOS DE VENTO,PORTO ALEGRE,RS,40.0,0,1,1,385493,0.0,0,0,0,2023-08-05,-,-30.0375651,-51.2039987
SALA/CONJUNTO COMERCIAL,COMPRA,333000,310000,AVENIDA,ASSIS BRASIL,SAO SEBASTIAO,PORTO ALEGRE,RS,26.0,0,1,0,322088,0.0,0,0,0,2023-08-05,-,-29.9799682,-51.1144159
SALA/CONJUNTO COMERCIAL,COMPRA,330000,297000,PRACA,DOM FELICIANO,CENTRO HISTORICO,PORTO ALEGRE,RS,70.0,0,1,1,378073,0.0,0,0,0,2023-08-05,-,-30.029934599999997,-51.22272080789821
SALA/CONJUNTO COMERCIAL,COMPRA,330000,297000,PRACA,DOM FELICIANO,CENTRO HISTORICO,PORTO ALEGRE,RS,70.0,0,1,1,378581,0.0,0,0,0,2023-08-05,-,-30.029934599999997,-51.22272080789821
